Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Discount tier 1 (min qty) (product.metafields.custom.discount_tier1_qty),Discount tier 2 (min qty) (product.metafields.custom.discount_tier2_qty),Bought together products (product.metafields.globo--filter--product_recommendation.bought_together_products),Complementary products (product.metafields.globo--filter--product_recommendation.complementary_products),Related products (product.metafields.globo--filter--product_recommendation.related_products),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Scent (product.metafields.shopify.scent),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
fresh-drop-blue-fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-3B-V5.jpg?v=1771490287,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh-drop-blue-fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-3B-V3.jpg?v=1771490290,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh-drop-blue-fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-3B-V4.jpg?v=1771490286,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh-drop-green-apple,frësh drop insert green / apple,"<p class=""s13""><span class=""s4"">frësh drop</span><span class=""s4""> is an innovative interior air freshener designed for toilet cubicles and restrooms. Made from a proprietary material infused with a deodorant-based fragrance, it provides a gradual and long-lasting fragrance release, ensuring a consistently fresh and clean restroom environment. Its unique waterdrop-shaped design complements any restroom interior, while the included adhesive tape allows for easy installation on almost any surface.</span></p>
<p class=""s13""><span class=""s4"">Manufactured with recycled and 100% recyclable EVA plastic, </span><span class=""s4"">frësh drop</span><span class=""s4""> is also biodegradable with the </span><span class=""s4"">Eco-One™ </span><span class=""s4"">additive, e</span><span class=""s4"">nsuring</span><span class=""s4""> 93% decomposition within 3.5 years (99% within 5 years) in bioactive landfills. Additionally, it is packaged in </span><span class=""s4"">ane co-friendly cellophane</span><span class=""s4""> bag, making it an environmentally friendly choice.</span></p>
<p class=""s14""><strong><span class=""s2"">frësh drop</span><span class=""s2""> provides an effective, easy-to-install, and eco-friendly air freshening solution for toilet cubicles and restroom interiors.</span></strong></p>
<p><img src=""https://cdn.shopify.com/s/files/1/0989/0542/4215/files/Header-desktop-1_d9462df7-d06c-4682-b2f1-9d1359bdc551.jpg?v=1773649115"" alt=""""></p>
<p class=""s14""><span class=""s2"">Key benefits:</span></p>
<ul>
<li class=""s9"">
<span class=""s4"">Proprietary</span><span class=""s4""> material infused with a deodorant-based fragrance that releases gradually</span>
</li>
<li class=""s9"">
<span class=""s4"">Perfect way to maintain a fresh and clean </span><span class=""s4"">restroom environment</span><span class=""s4"">, specially designed for toilet </span><span class=""s4"">cubicles</span>
</li>
<li class=""s9""><span class=""s4"">Long-lasting fragrance release</span></li>
<li class=""s9"">
<span class=""s4"">Waterdrop design that complements </span><span class=""s4"">any </span><span class=""s4"">restroom interior</span>
</li>
<li class=""s9""><span class=""s4"">Easy installation using the included adhesive tape</span></li>
<li class=""s9""><span class=""s4"">Dimensions: 22.5 x 11.5 x 3.5 cm</span></li>
<li class=""s9"">
<span class=""s4"">W</span><span class=""s4"">ide range of colors and pleasant fragrances</span>
</li>
<li class=""s9""><span class=""s4"">100% recyclable and also biodegradable</span></li>
<li class=""s9""><span class=""s4"">Packaged in an eco-friendly cellophane bag</span></li>
<li class=""s9""><span class=""s4"">Complies with European VOC standards</span></li>
<li class=""s9""><span class=""s4"">Option for private branding through printing</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,FDI-2G,80.0,shopify,790,deny,manual,7.99,,true,true,,,,,FDI-2G,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-2G-V1.jpg?v=1771490285,1,"",false,,,1746,,,,new,,,,,,,,,,,,,,green-apple,,apple,fresh-drop-base,"",ahead,,,g,,,active
fresh-drop-green-apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-2G-V5.jpg?v=1771490288,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh-drop-green-apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-2G-V3.jpg?v=1771490290,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh-drop-green-apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-2G-V4.jpg?v=1771490287,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh-drop-purple-berry,frësh drop insert purple / berry,"<p class=""s13""><span class=""s4"">frësh drop</span><span class=""s4""> is an innovative interior air freshener designed for toilet cubicles and restrooms. Made from a proprietary material infused with a deodorant-based fragrance, it provides a gradual and long-lasting fragrance release, ensuring a consistently fresh and clean restroom environment. Its unique waterdrop-shaped design complements any restroom interior, while the included adhesive tape allows for easy installation on almost any surface.</span></p>
<p class=""s13""><span class=""s4"">Manufactured with recycled and 100% recyclable EVA plastic, </span><span class=""s4"">frësh drop</span><span class=""s4""> is also biodegradable with the </span><span class=""s4"">Eco-One™ </span><span class=""s4"">additive, e</span><span class=""s4"">nsuring</span><span class=""s4""> 93% decomposition within 3.5 years (99% within 5 years) in bioactive landfills. Additionally, it is packaged in </span><span class=""s4"">ane co-friendly cellophane</span><span class=""s4""> bag, making it an environmentally friendly choice.</span></p>
<p class=""s14""><strong><span class=""s2"">frësh drop</span><span class=""s2""> provides an effective, easy-to-install, and eco-friendly air freshening solution for toilet cubicles and restroom interiors.</span></strong></p>
<p><img src=""https://cdn.shopify.com/s/files/1/0989/0542/4215/files/Header-desktop-1_d9462df7-d06c-4682-b2f1-9d1359bdc551.jpg?v=1773649115"" alt=""""></p>
<p class=""s14""><span class=""s2"">Key benefits:</span></p>
<ul>
<li class=""s9"">
<span class=""s4"">Proprietary</span><span class=""s4""> material infused with a deodorant-based fragrance that releases gradually</span>
</li>
<li class=""s9"">
<span class=""s4"">Perfect way to maintain a fresh and clean </span><span class=""s4"">restroom environment</span><span class=""s4"">, specially designed for toilet </span><span class=""s4"">cubicles</span>
</li>
<li class=""s9""><span class=""s4"">Long-lasting fragrance release</span></li>
<li class=""s9"">
<span class=""s4"">Waterdrop design that complements </span><span class=""s4"">any </span><span class=""s4"">restroom interior</span>
</li>
<li class=""s9""><span class=""s4"">Easy installation using the included adhesive tape</span></li>
<li class=""s9""><span class=""s4"">Dimensions: 22.5 x 11.5 x 3.5 cm</span></li>
<li class=""s9"">
<span class=""s4"">W</span><span class=""s4"">ide range of colors and pleasant fragrances</span>
</li>
<li class=""s9""><span class=""s4"">100% recyclable and also biodegradable</span></li>
<li class=""s9""><span class=""s4"">Packaged in an eco-friendly cellophane bag</span></li>
<li class=""s9""><span class=""s4"">Complies with European VOC standards</span></li>
<li class=""s9""><span class=""s4"">Option for private branding through printing</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,FDI-1P,80.0,shopify,1154,deny,manual,7.99,,true,true,,,,,FDI-1P,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-1P-V1.jpg?v=1771490286,1,"",false,,,1746,,,,new,,,,,,,,,,,,,,purple-berry,,berry,fresh-drop-base,"",ahead,,,g,,,active
fresh-drop-purple-berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-1P-V5.jpg?v=1773649348,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh-drop-purple-berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-1P-V3.jpg?v=1773649348,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh-drop-purple-berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-1P-V4.jpg?v=1773649348,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekco-clip-yellow-citrus,ëkco clip yellow / citrus,"<p class=""s13""><span class=""s4"">ëkco clip</span><span class=""s4""> is an innovative toilet bowl freshener clip, designed to provide continuous odor control and keep toilet cubicles fresh. Made from a proprietary material infused with a deodorant-based fragrance, it ensures a gradual fragrance release for up to 30 days, offering effective and long-lasting freshness. Its flexible design allows it to adapt to most toilet bowl types, ensuring easy application and optimal fragrance diffusion.</span></p>
<p class=""s13""><span class=""s4"">Manufactured with recycled and 100% recyclable EVA plastic, </span><span class=""s4"">ëkco clip</span><span class=""s4""> is also biodegradable with the </span><span class=""s4"">Eco-One™ </span><span class=""s4"">additive, ensuring 93% decomposition within 3.5 years (99% within 5 years) in bioactive landfills. Additionally, it is packaged in an eco-friendly cellophane bag, reducing environmental impact.</span></p>
<p class=""s14""><strong><span class=""s2"">ëkco clip</span><span class=""s2""> offers a simple, effective, and eco-friendly solution for maintaining a fresh restroom environment.</span></strong></p>
<p class=""s14""><span> <img src=""https://cdn.shopify.com/s/files/1/0989/0542/4215/files/Header-desktop-1_4623b21e-b090-4376-bd1d-5e4e3ab3fdb8.jpg?v=1773613427"" alt=""""></span></p>
<p class=""s14""><span class=""s2"">Key benefits:</span></p>
<ul>
<li class=""s9"">
<span class=""s4"">Proprietary</span><span class=""s4""> material infused with a deodorant-based fragrance that releases gradually</span>
</li>
<li class=""s9""><span class=""s4"">Effective odor protection</span></li>
<li class=""s9""><span class=""s4"">Unique design for optimal fragrance release</span></li>
<li class=""s9"">
<span class=""s8"">F</span><span class=""s4"">ragrance release for up to 30 days</span>
</li>
<li class=""s9"">
<span class=""s4"">Flexible shape fits almost all toilet </span><span class=""s4"">bowl </span><span class=""s4"">types</span>
</li>
<li class=""s9""><span class=""s4"">Unique design, wide range of colors, and pleasant fragrances</span></li>
<li class=""s9"">
<span class=""s4"">Significant cost savings</span><span class=""s4""> on toilet fragrancing</span>
</li>
<li class=""s9""><span class=""s4"">100% recyclable and also biodegradable</span></li>
<li class=""s9""><span class=""s4"">Packaged in an eco-friendly cellophane bag</span></li>
<li class=""s9""><span class=""s4"">Complies with European VOC standards</span></li>
<li class=""s9"">
<span class=""s4"">Non-toxic to the environment</span><span class=""s4"">, particularly</span><span class=""s4""> water sources</span>
</li>
<li class=""s9""><span class=""s4"">Option for private branding through material cutouts and printing</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,TBC-13C,33.0,shopify,1190,deny,manual,4.39,,true,true,,,,,TBC-13C,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/TBC-13C-V1.jpg?v=1771490205,1,"",false,,,1746,,,,new,,,,,,,10,20,,,,,,yellow-citrus,,citrus,,,,,,g,,,active
ekco-clip-yellow-citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/TBC-13C-V3.jpg?v=1771490206,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekco-clip-yellow-citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/TBC-13C-V2.jpg?v=1771490207,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekco-clip-purple-lavender,ëkco clip purple / lavender,"<p class=""s13""><span class=""s4"">ëkco clip</span><span class=""s4""> is an innovative toilet bowl freshener clip, designed to provide continuous odor control and keep toilet cubicles fresh. Made from a proprietary material infused with a deodorant-based fragrance, it ensures a gradual fragrance release for up to 30 days, offering effective and long-lasting freshness. Its flexible design allows it to adapt to most toilet bowl types, ensuring easy application and optimal fragrance diffusion.</span></p>
<p class=""s13""><span class=""s4"">Manufactured with recycled and 100% recyclable EVA plastic, </span><span class=""s4"">ëkco clip</span><span class=""s4""> is also biodegradable with the </span><span class=""s4"">Eco-One™ </span><span class=""s4"">additive, ensuring 93% decomposition within 3.5 years (99% within 5 years) in bioactive landfills. Additionally, it is packaged in an eco-friendly cellophane bag, reducing environmental impact.</span></p>
<p class=""s14""><strong><span class=""s2"">ëkco clip</span><span class=""s2""> offers a simple, effective, and eco-friendly solution for maintaining a fresh restroom environment.</span></strong></p>
<p class=""s14""><span> <img src=""https://cdn.shopify.com/s/files/1/0989/0542/4215/files/Header-desktop-1_4623b21e-b090-4376-bd1d-5e4e3ab3fdb8.jpg?v=1773613427"" alt=""""></span></p>
<p class=""s14""><span class=""s2"">Key benefits:</span></p>
<ul>
<li class=""s9"">
<span class=""s4"">Proprietary</span><span class=""s4""> material infused with a deodorant-based fragrance that releases gradually</span>
</li>
<li class=""s9""><span class=""s4"">Effective odor protection</span></li>
<li class=""s9""><span class=""s4"">Unique design for optimal fragrance release</span></li>
<li class=""s9"">
<span class=""s8"">F</span><span class=""s4"">ragrance release for up to 30 days</span>
</li>
<li class=""s9"">
<span class=""s4"">Flexible shape fits almost all toilet </span><span class=""s4"">bowl </span><span class=""s4"">types</span>
</li>
<li class=""s9""><span class=""s4"">Unique design, wide range of colors, and pleasant fragrances</span></li>
<li class=""s9"">
<span class=""s4"">Significant cost savings</span><span class=""s4""> on toilet fragrancing</span>
</li>
<li class=""s9""><span class=""s4"">100% recyclable and also biodegradable</span></li>
<li class=""s9""><span class=""s4"">Packaged in an eco-friendly cellophane bag</span></li>
<li class=""s9""><span class=""s4"">Complies with European VOC standards</span></li>
<li class=""s9"">
<span class=""s4"">Non-toxic to the environment</span><span class=""s4"">, particularly</span><span class=""s4""> water sources</span>
</li>
<li class=""s9""><span class=""s4"">Option for private branding through material cutouts and printing</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,TBC-12P,33.0,shopify,817,deny,manual,4.39,,true,true,,,,,TBC-12P,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/TBC-12P-V1.jpg?v=1771490203,1,"",false,,,1746,,,,new,,,,,,,10,20,,,,,,purple-lavender,,lavender,,,,,,g,,,active
ekco-clip-purple-lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/TBC-12P-V3.jpg?v=1771490207,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekco-clip-purple-lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/TBC-12P-V2.jpg?v=1771490206,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekco-clip-red-melon,ëkco clip red / melon,"<p class=""s13""><span class=""s4"">ëkco clip</span><span class=""s4""> is an innovative toilet bowl freshener clip, designed to provide continuous odor control and keep toilet cubicles fresh. Made from a proprietary material infused with a deodorant-based fragrance, it ensures a gradual fragrance release for up to 30 days, offering effective and long-lasting freshness. Its flexible design allows it to adapt to most toilet bowl types, ensuring easy application and optimal fragrance diffusion.</span></p>
<p class=""s13""><span class=""s4"">Manufactured with recycled and 100% recyclable EVA plastic, </span><span class=""s4"">ëkco clip</span><span class=""s4""> is also biodegradable with the </span><span class=""s4"">Eco-One™ </span><span class=""s4"">additive, ensuring 93% decomposition within 3.5 years (99% within 5 years) in bioactive landfills. Additionally, it is packaged in an eco-friendly cellophane bag, reducing environmental impact.</span></p>
<p class=""s14""><strong><span class=""s2"">ëkco clip</span><span class=""s2""> offers a simple, effective, and eco-friendly solution for maintaining a fresh restroom environment.</span></strong></p>
<p class=""s14""><span> <img src=""https://cdn.shopify.com/s/files/1/0989/0542/4215/files/Header-desktop-1_4623b21e-b090-4376-bd1d-5e4e3ab3fdb8.jpg?v=1773613427"" alt=""""></span></p>
<p class=""s14""><span class=""s2"">Key benefits:</span></p>
<ul>
<li class=""s9"">
<span class=""s4"">Proprietary</span><span class=""s4""> material infused with a deodorant-based fragrance that releases gradually</span>
</li>
<li class=""s9""><span class=""s4"">Effective odor protection</span></li>
<li class=""s9""><span class=""s4"">Unique design for optimal fragrance release</span></li>
<li class=""s9"">
<span class=""s8"">F</span><span class=""s4"">ragrance release for up to 30 days</span>
</li>
<li class=""s9"">
<span class=""s4"">Flexible shape fits almost all toilet </span><span class=""s4"">bowl </span><span class=""s4"">types</span>
</li>
<li class=""s9""><span class=""s4"">Unique design, wide range of colors, and pleasant fragrances</span></li>
<li class=""s9"">
<span class=""s4"">Significant cost savings</span><span class=""s4""> on toilet fragrancing</span>
</li>
<li class=""s9""><span class=""s4"">100% recyclable and also biodegradable</span></li>
<li class=""s9""><span class=""s4"">Packaged in an eco-friendly cellophane bag</span></li>
<li class=""s9""><span class=""s4"">Complies with European VOC standards</span></li>
<li class=""s9"">
<span class=""s4"">Non-toxic to the environment</span><span class=""s4"">, particularly</span><span class=""s4""> water sources</span>
</li>
<li class=""s9""><span class=""s4"">Option for private branding through material cutouts and printing</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,TBC-10R,33.0,shopify,1436,deny,manual,4.39,,true,true,,,,,TBC-10R,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/TBC-10R-V1.jpg?v=1771490208,1,"",false,,,1746,,,,new,,,,,,,10,20,,,,,,red-melon,,melon,,,,,,g,,,active
ekco-clip-red-melon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/TBC-10R-V3.jpg?v=1771490206,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekco-clip-red-melon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/TBC-10R-V2.jpg?v=1771490207,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekco-clip-green-pine,ëkco clip green / pine,"<p class=""s13""><span class=""s4"">ëkco clip</span><span class=""s4""> is an innovative toilet bowl freshener clip, designed to provide continuous odor control and keep toilet cubicles fresh. Made from a proprietary material infused with a deodorant-based fragrance, it ensures a gradual fragrance release for up to 30 days, offering effective and long-lasting freshness. Its flexible design allows it to adapt to most toilet bowl types, ensuring easy application and optimal fragrance diffusion.</span></p>
<p class=""s13""><span class=""s4"">Manufactured with recycled and 100% recyclable EVA plastic, </span><span class=""s4"">ëkco clip</span><span class=""s4""> is also biodegradable with the </span><span class=""s4"">Eco-One™ </span><span class=""s4"">additive, ensuring 93% decomposition within 3.5 years (99% within 5 years) in bioactive landfills. Additionally, it is packaged in an eco-friendly cellophane bag, reducing environmental impact.</span></p>
<p class=""s14""><strong><span class=""s2"">ëkco clip</span><span class=""s2""> offers a simple, effective, and eco-friendly solution for maintaining a fresh restroom environment.</span></strong></p>
<p class=""s14""><span> <img src=""https://cdn.shopify.com/s/files/1/0989/0542/4215/files/Header-desktop-1_4623b21e-b090-4376-bd1d-5e4e3ab3fdb8.jpg?v=1773613427"" alt=""""></span></p>
<p class=""s14""><span class=""s2"">Key benefits:</span></p>
<ul>
<li class=""s9"">
<span class=""s4"">Proprietary</span><span class=""s4""> material infused with a deodorant-based fragrance that releases gradually</span>
</li>
<li class=""s9""><span class=""s4"">Effective odor protection</span></li>
<li class=""s9""><span class=""s4"">Unique design for optimal fragrance release</span></li>
<li class=""s9"">
<span class=""s8"">F</span><span class=""s4"">ragrance release for up to 30 days</span>
</li>
<li class=""s9"">
<span class=""s4"">Flexible shape fits almost all toilet </span><span class=""s4"">bowl </span><span class=""s4"">types</span>
</li>
<li class=""s9""><span class=""s4"">Unique design, wide range of colors, and pleasant fragrances</span></li>
<li class=""s9"">
<span class=""s4"">Significant cost savings</span><span class=""s4""> on toilet fragrancing</span>
</li>
<li class=""s9""><span class=""s4"">100% recyclable and also biodegradable</span></li>
<li class=""s9""><span class=""s4"">Packaged in an eco-friendly cellophane bag</span></li>
<li class=""s9""><span class=""s4"">Complies with European VOC standards</span></li>
<li class=""s9"">
<span class=""s4"">Non-toxic to the environment</span><span class=""s4"">, particularly</span><span class=""s4""> water sources</span>
</li>
<li class=""s9""><span class=""s4"">Option for private branding through material cutouts and printing</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,TBC-9G,33.0,shopify,576,deny,manual,4.39,,true,true,,,,,TBC-9G,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/TBC-9G-V1.jpg?v=1771490204,1,"",false,,,1746,,,,new,,,,,,,10,20,,,,,,green-pine,,pine,,,,,,g,,,active
ekco-clip-green-pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/TBC-9G-V3.jpg?v=1771490205,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekco-clip-green-pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/TBC-9G-V2.jpg?v=1771490206,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekco-clip-flame-mango,ëkco clip flame / mango,"<p class=""s13""><span class=""s4"">ëkco clip</span><span class=""s4""> is an innovative toilet bowl freshener clip, designed to provide continuous odor control and keep toilet cubicles fresh. Made from a proprietary material infused with a deodorant-based fragrance, it ensures a gradual fragrance release for up to 30 days, offering effective and long-lasting freshness. Its flexible design allows it to adapt to most toilet bowl types, ensuring easy application and optimal fragrance diffusion.</span></p>
<p class=""s13""><span class=""s4"">Manufactured with recycled and 100% recyclable EVA plastic, </span><span class=""s4"">ëkco clip</span><span class=""s4""> is also biodegradable with the </span><span class=""s4"">Eco-One™ </span><span class=""s4"">additive, ensuring 93% decomposition within 3.5 years (99% within 5 years) in bioactive landfills. Additionally, it is packaged in an eco-friendly cellophane bag, reducing environmental impact.</span></p>
<p class=""s14""><strong><span class=""s2"">ëkco clip</span><span class=""s2""> offers a simple, effective, and eco-friendly solution for maintaining a fresh restroom environment.</span></strong></p>
<p class=""s14""><span> <img src=""https://cdn.shopify.com/s/files/1/0989/0542/4215/files/Header-desktop-1_4623b21e-b090-4376-bd1d-5e4e3ab3fdb8.jpg?v=1773613427"" alt=""""></span></p>
<p class=""s14""><span class=""s2"">Key benefits:</span></p>
<ul>
<li class=""s9"">
<span class=""s4"">Proprietary</span><span class=""s4""> material infused with a deodorant-based fragrance that releases gradually</span>
</li>
<li class=""s9""><span class=""s4"">Effective odor protection</span></li>
<li class=""s9""><span class=""s4"">Unique design for optimal fragrance release</span></li>
<li class=""s9"">
<span class=""s8"">F</span><span class=""s4"">ragrance release for up to 30 days</span>
</li>
<li class=""s9"">
<span class=""s4"">Flexible shape fits almost all toilet </span><span class=""s4"">bowl </span><span class=""s4"">types</span>
</li>
<li class=""s9""><span class=""s4"">Unique design, wide range of colors, and pleasant fragrances</span></li>
<li class=""s9"">
<span class=""s4"">Significant cost savings</span><span class=""s4""> on toilet fragrancing</span>
</li>
<li class=""s9""><span class=""s4"">100% recyclable and also biodegradable</span></li>
<li class=""s9""><span class=""s4"">Packaged in an eco-friendly cellophane bag</span></li>
<li class=""s9""><span class=""s4"">Complies with European VOC standards</span></li>
<li class=""s9"">
<span class=""s4"">Non-toxic to the environment</span><span class=""s4"">, particularly</span><span class=""s4""> water sources</span>
</li>
<li class=""s9""><span class=""s4"">Option for private branding through material cutouts and printing</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,TBC-8BM,33.0,shopify,364,deny,manual,4.39,,true,true,,,,,TBC-8BM,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/TBC-8BM-V1.jpg?v=1771490206,1,"",false,,,1746,,,,new,,,,,,,10,20,,,,,,flame,,mango,,,,,,g,,,active
ekco-clip-flame-mango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/TBC-8BM-V3.jpg?v=1771490206,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekco-clip-flame-mango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/TBC-8BM-V2.jpg?v=1771490207,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
